Country,cluster_kmeans,cluster_agglo
AE,0,1
AR,0,1
AT,0,1
AU,0,1
BD,0,1
BE,0,1
BG,0,1
BO,0,1
BR,0,1
CA,0,1
CH,0,1
CL,0,1
CO,0,1
CZ,0,1
DE,0,1
DK,0,1
EC,0,1
EE,0,1
EG,0,0
ES,0,1
FI,0,1
FR,0,1
GB,1,0
GH,0,1
GR,0,1
HK,0,1
HR,0,1
HU,0,1
ID,0,1
IE,0,1
IL,0,1
IN,1,0
IT,0,1
JP,1,0
KE,0,1
KR,1,0
LK,0,1
LT,0,1
LV,0,1
MA,0,1
MM,0,1
MX,1,0
MY,0,1
NG,0,1
NL,0,1
NO,0,1
NZ,0,1
PE,0,1
PH,0,1
PK,0,1
PL,0,1
PT,0,1
RO,0,1
RS,0,1
RU,0,1
SA,0,1
SE,0,1
SG,0,1
SI,0,1
SK,0,1
TH,0,1
TN,0,1
TR,1,0
TW,0,1
UA,0,1
US,1,0
UY,0,1
VE,0,1
VN,0,1
ZA,0,1
