index,n_keywords,n_present,n_missing,coverage,missing_keywords
social_identity_politics_index,4,0,4,0.0,"['lgbt_social_movements', 'trans_rights', 'gender_affirming_care', 'pride_month']"
crime_organized_crime_index,3,1,2,0.3333333333333333,"['mafia', 'gang_violence']"
entertainment_short_video_index,3,1,2,0.3333333333333333,"['shorts', 'reels']"
social_vegan_lifestyle_index,3,1,2,0.3333333333333333,"['plant_based_diet', 'tofu']"
environment_climate_concern_index,5,2,3,0.4,"['carbon_footprint', 'carbon_emissions', 'climate_policy']"
entertainment_streaming_consumption_index,5,2,3,0.4,"['disney_plus', 'pirated_movies', 'streaming_service']"
crime_gun_violence_index,5,2,3,0.4,"['gun_violence', 'open_carry', 'concealed_carry']"
finance_real_estate_pressure_index,5,2,3,0.4,"['real_estate', 'housing_market', 'housing_bubble']"
luxury_elite_mobility_index,7,3,4,0.42857142857142855,"['bugatti', 'porsche_911', 'private_jet', 'gulfstream']"
health_mental_health_index,7,3,4,0.42857142857142855,"['anxiety_disorder', 'mental_disorder', 'mental_wellbeing', 'therapy']"
environment_pollution_index,6,3,3,0.5,"['soil_pollution', 'plastic_pollution', 'industrial_waste']"
health_healthcare_access_index,8,4,4,0.5,"['health_care', 'ozempic', 'glp_1', 'healthcare_bankruptcy']"
sports_elite_spectator_sports_index,6,3,3,0.5,"['islam_makhachev', 'alex_pereira', 'ferrari_f1']"
crime_cybercrime_index,6,3,3,0.5,"['dark_web_markets', 'online_fraud', 'crypto_scam']"
social_dating_culture_index,4,2,2,0.5,"['situationship', 'aşk_bombardımanı']"
luxury_aesthetic_body_index,11,6,5,0.5454545454545454,"['plastic_surgery', 'eyelid_surgery_blepharoplasty', 'rhinoplasty_nose_job', 'tummy_tuck_abdominoplasty', 'neck_lift']"
sports_body_image_index,9,5,4,0.5555555555555556,"['sarms', 'weight_lifting', 'chloe_ting', 'booty_workout']"
finance_macro_pressure_index,11,7,4,0.6363636363636364,"['price_hike', 'shrinkflation', 'job_cuts', 'credit_card_debt']"
luxury_status_consumption_index,6,4,2,0.6666666666666666,"['hermès_birkin', 'designer_bag']"
finance_crypto_speculation_index,6,4,2,0.6666666666666666,"['crypto_wallet', 'memecoin']"
social_corruption_index,3,2,1,0.6666666666666666,['offshore_account']
tech_digital_intelligence_index,10,7,3,0.7,"['machine_learning', 'quantum_computer', 'quantum_supremacy']"
social_work_culture_index,4,3,1,0.75,['work_from_anywhere']
social_migration_pressure_index,4,3,1,0.75,['asylum_seeker']
health_addiction_recovery_index,5,4,1,0.8,['fentanyl_crisis']
environment_energy_transition_index,10,8,2,0.8,"['electric_car', 'green_technology']"
crime_sexual_violence_index,6,5,1,0.8333333333333334,['metoo']
tech_security_privacy_index,7,6,1,0.8571428571428571,['privacy']
crime_violent_crime_index,4,4,0,1.0,[]
health_sleep_crisis_index,5,5,0,1.0,[]
